IncLevel1	IncLevel2	IncLevelDifference
0.017,0.023,0.021,0.042	0.042,0.054,0.018,0.041	-0.013
0.312,0.292,0.533,0.178	0.335,0.356,0.245,0.221	0.039
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.926	0.018
0.253,0.307,0.421,0.279	0.345,0.389,0.339,0.257	-0.017
0.307,0.394,0.513,0.392	0.313,0.291,0.332,0.352	0.08
0.556,0.375,0.312,0.5	0.222,0.3,0.52,0.52	0.045
0.006,0.028,0.019,0.019	0.051,0.019,0.011,0.022	-0.008
0.033,0.092,0.083,0.023	0.152,0.093,0.081,0.053	-0.037
0.095,0.087,0.206,0.091	0.213,0.251,0.212,0.25	-0.112
0.106,0.125,0.103,0.098	0.218,0.193,0.156,0.203	-0.085
0.036,0.015,0.042,0.022	0.057,0.028,0.022,0.018	-0.003
0.123,0.158,0.178,0.099	0.199,0.178,0.169,0.142	-0.033
0.933,0.902,0.922,0.846	0.871,0.967,1.0,0.95	-0.046
0.124,0.152,0.164,0.081	0.184,0.183,0.131,0.131	-0.027
0.048,0.062,0.068,0.029	0.078,0.07,0.094,0.08	-0.029
0.735,0.71,0.744,0.72	0.712,0.777,0.673,0.781	-0.009
1.0,0.9,1.0,1.0	1.0,1.0,1.0,0.9	0.0
0.0,0.056,0.0,0.0	0.059,0.0,0.0,0.0	-0.001
0.0,0.396,1.0,0.0	NA,NA,1.0,0.0	-0.151
0.123,0.162,0.437,0.112	0.456,0.255,0.324,0.485	-0.172
0.0,NA,NA,NA	NA,1.0,1.0,1.0	-1.0
0.038,0.034,0.048,0.019	0.056,0.049,0.043,0.038	-0.012
