IncLevel1	IncLevel2	IncLevelDifference
0.016,0.009,0.039,0.017	0.005,0.041,0.01,0.035	-0.002
0.013,0.024,0.038,0.007	0.001,0.018,0.008,0.005	0.013
0.146,0.214,0.193,0.102	0.232,0.158,0.166,0.169	-0.018
1.0,1.0,1.0,1.0	0.973,1.0,1.0,1.0	0.007
0.993,1.0,1.0,0.99	1.0,0.991,0.994,1.0	-0.001
0.029,0.018,0.026,0.022	0.04,0.02,0.022,0.022	-0.002
1.0,1.0,1.0,1.0	1.0,0.981,1.0,1.0	0.005
1.0,1.0,1.0,1.0	0.992,0.994,1.0,0.991	0.006
1.0,0.991,0.984,0.985	0.978,0.982,0.978,0.976	0.012
0.031,0.041,0.034,0.025	0.035,0.035,0.093,0.017	-0.012
0.704,0.664,0.727,0.732	0.669,0.766,0.703,0.757	-0.017
0.285,0.22,0.315,0.206	0.32,0.373,0.345,0.345	-0.089
0.333,0.369,0.452,0.394	0.478,0.498,0.462,0.5	-0.097
0.479,0.482,0.435,0.496	0.428,0.426,0.405,0.389	0.061
0.091,0.151,0.106,0.14	0.081,0.101,0.116,0.113	0.019
1.0,1.0,1.0,1.0	1.0,0.99,1.0,1.0	0.002
0.518,0.502,0.495,0.441	0.474,0.449,0.452,0.482	0.025
0.207,0.224,0.264,0.163	0.223,0.254,0.3,0.238	-0.039
0.28,0.0,0.15,0.143	0.133,0.133,0.237,0.192	-0.03
1.0,1.0,1.0,0.627	1.0,1.0,0.737,1.0	-0.028
0.628,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.093
0.193,0.064,0.145,0.0	0.17,0.291,0.051,0.17	-0.07
0.54,0.568,0.532,0.411	0.545,0.61,0.579,0.476	-0.04
0.054,0.06,0.074,0.041	0.071,0.067,0.051,0.066	-0.006
0.217,0.18,0.258,0.166	0.216,0.254,0.247,0.268	-0.041
0.046,0.07,0.102,0.042	0.094,0.099,0.104,0.075	-0.028
0.875,1.0,0.933,0.887	0.975,0.855,0.942,0.91	0.003
0.059,0.065,0.108,0.054	0.109,0.107,0.129,0.105	-0.041
0.114,1.0,0.473,1.0	0.161,0.31,1.0,0.278	0.21
0.131,0.123,0.146,0.093	0.147,0.101,0.174,0.13	-0.015
0.093,0.086,0.096,0.06	0.12,0.258,0.107,0.149	-0.075
0.453,0.498,0.427,0.262	0.554,0.518,0.683,0.679	-0.199
0.827,0.819,0.844,0.847	0.837,0.864,0.871,0.86	-0.024
0.994,0.995,0.986,0.998	0.997,0.992,0.994,0.988	0.001
0.006,0.006,0.005,0.006	0.008,0.008,0.009,0.007	-0.002
0.034,0.018,0.049,0.066	0.046,0.035,0.052,0.044	-0.002
0.022,0.023,0.018,0.011	0.019,0.025,0.025,0.025	-0.005
